,text,class
0,adriana del rosario,2
1,nora alicia,2
2,ricardo alfonso,1
3,hugo adalberto,1
4,monica isela,2
5,puedo hacer para,0
6,y sanchez,3
7,alma angelina,2
8,luis alberto,1
9,martha lizbeth,2
10,edna maria,2
11,ma de la paz,2
12,texcucano,3
13,oliva,3
14,ulda,2
15,julia alejandra,2
16,del rosario,2
17,adalberta,2
18,edna luz,2
19,angel gustavo,1
20,romina,2
21,jose joel,1
22,licon,3
23,marban,3
24,blanca maricela,2
25,daniel isaac,1
26,glorilu,2
27,elvia araceli,2
28,carlos,2
29,gudiño,3
30,jose de los santos,1
31,ma juana,2
32,luis adolfo,1
33,enguilo,3
34,tania fabiola,2
35,dulce rosario,2
36,no tengo a,0
37,donge,3
38,narda,2
39,teloxa,3
40,jose noel,1
41,edaena,2
42,hugo raul,1
43,rocio patricia,2
44,brenda selene,2
45,martha mireya,2
46,rocio concepcion,2
47,rosantina,2
48,sonia esmeralda,2
49,mandarlo,0
50,de domicilio,0
51,peña,3
52,jesus fernando,1
53,claudia margarita,2
54,catarina,3
55,del rincon,3
56,marina adriana,2
57,portilla,3
58,el credito como,0
59,cajiga,3
60,rubi angelica,2
61,deyanira guadalupe,2
62,kury,3
63,oscar rodrigo,1
64,claudia lizette,2
65,carlos jose,1
66,rodolfo jesus,1
67,carriera,3
68,fanny lizeth,2
69,edna alicia,2
70,edna guadalupe,2
71,marta eugenia,2
72,edith alicia,2
73,irma del rocio,2
74,cumi,3
75,polo,3
76,concepcion,1
77,olivo,1
78,ana eloisa,2
79,fuente,3
80,rosendo,3
81,elda margarita,2
82,y can,3
83,flor,2
84,zuleta,3
85,marco alberto,1
86,maria aracely,2
87,maria fermina,2
88,jhovany,1
89,escanear,0
90,teja,3
91,galdino,3
92,liberato,3
93,j ernesto,1
94,ruben jesus,1
95,lina gabriela,2
96,vemos,0
97,luz aurora,2
98,alejandro israel,1
99,veronica laura,2
100,lacarra,3
101,cenobio,3
102,maria ofelia,2
103,francisco fidel,1
104,cacique,3
105,martil,3
106,long,3
107,matilde,3
108,documentos,0
109,hugo alfonso,1
110,maritza guadalupe,2
111,gualito,3
112,prospero,1
113,y,3
114,julieta guadalupe,2
115,tavarez,3
116,amaral,3
117,dulce adriana,2
118,maclovia,2
119,margarita angelica,2
120,ma laura,2
121,rosember,1
122,lucelly,2
123,maria guadalupe del rosario,2
