adriana del rosario,2
nora alicia,2
ricardo alfonso,1
hugo adalberto,1
monica isela,2
puedo hacer para,0
y sanchez,3
alma angelina,2
luis alberto,1
martha lizbeth,2
edna maria,2
ma de la paz,2
texcucano,3
oliva,3
ulda,2
julia alejandra,2
del rosario,2
adalberta,2
edna luz,2
angel gustavo,1
romina,2
jose joel,1
licon,3
marban,3
blanca maricela,2
daniel isaac,1
glorilu,2
elvia araceli,2
carlos,2
gudiño,3
jose de los santos,1
ma juana,2
luis adolfo,1
enguilo,3
tania fabiola,2
dulce rosario,2
no tengo a,0
donge,3
narda,2
teloxa,3
jose noel,1
edaena,2
hugo raul,1
rocio patricia,2
brenda selene,2
martha mireya,2
rocio concepcion,2
rosantina,2
sonia esmeralda,2
mandarlo,0
de domicilio,0
peña,3
jesus fernando,1
claudia margarita,2
catarina,3
del rincon,3
marina adriana,2
portilla,3
el credito como,0
cajiga,3
rubi angelica,2
deyanira guadalupe,2
kury,3
oscar rodrigo,1
claudia lizette,2
carlos jose,1
rodolfo jesus,1
carriera,3
fanny lizeth,2
edna alicia,2
edna guadalupe,2
marta eugenia,2
edith alicia,2
irma del rocio,2
cumi,3
polo,3
concepcion,1
olivo,1
ana eloisa,2
fuente,3
rosendo,3
elda margarita,2
y can,3
flor,2
zuleta,3
marco alberto,1
maria aracely,2
maria fermina,2
jhovany,1
escanear,0
teja,3
galdino,3
liberato,3
j ernesto,1
ruben jesus,1
lina gabriela,2
vemos,0
luz aurora,2
alejandro israel,1
veronica laura,2
lacarra,3
cenobio,3
maria ofelia,2
francisco fidel,1
cacique,3
martil,3
long,3
matilde,3
documentos,0
hugo alfonso,1
maritza guadalupe,2
gualito,3
prospero,1
y,3
julieta guadalupe,2
tavarez,3
amaral,3
dulce adriana,2
maclovia,2
margarita angelica,2
ma laura,2
rosember,1
lucelly,2
maria guadalupe del rosario,2
yeni guadalupe,2
trabajo,0
ma adriana,2
cendejas,3
jose anselmo,1
ramon jesus,1
susana edith,2
naum,1
addy,2
rutilo,1
hinojos,3
torrecillas,3
erika georgina,2
uh,3
moises david,1
karla evelyn,2
massiel,2
schulz,3
dueñas,3
yannet,2
chame,3
monterrosas,3
nancy ivonne,2
se,0
gatica,3
fatima concepcion,2
susana beatriz,2
tax,3
rosa concepcion,2
rua,3
alma guadalupe,2
gustavo adolfo,1
us,3
ramon manuel,1
recendiz,3
zepeda,3
blanca leticia,2
juan bosco,1
martha socorro,2
addy del socorro,2
veronica de la luz,2
del muro,3
baiza,3
elvia margarita,2
es,0
juan rodolfo,1
esther del carmen,2
heraclio,1
pedrera,3
suleyma,2
martha eunice,2
ayllon,3
enriqueta del carmen,2
ma francisca,2
othon,3
baqueiro,3
perpuli,3
checan buro de,0
tejamanil,3
alma gisela,2
claudia mireya,2
serafina,2
titular,0
alberto,1
nestor,3
maria soco,2
edna veronica,2
aes,3
marlene alejandra,2
enrique david,1
responden si me,0
mungaray,3
yrma,2
jarvio,3
juan tomas,1
ivonne guadalupe,2
score crediticio minimo,0
david francisco,1
hernandez,3
xalpa,3
jesus albert,1
raquel,1
hector rogelio,1
jose j,1
gerardo enrique,1
revueltas,3
perla olivia,2
